"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/el","Web Site - Windows Update","EL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/hu","Web Site - Windows Update","HU","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/pt","Web Site - Windows Update","PT","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/ru","Web Site - Windows Update","RU","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/sk","Web Site - Windows Update","SK","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/sl","Web Site - Windows Update","SL","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50a/x86/tr","Web Site - Windows Update","TR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/en","Web Site - Windows Update","EN","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/zhcn","Web Site - Windows Update","CN","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/zhtw","Web Site - Windows Update","TW","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/de","Web Site - Windows Update","DE","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/ja","Web Site - Windows Update","JA","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/ko","Web Site - Windows Update","KO","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/ar","Web Site - Windows Update","AR","North America"
"http://download.windowsupdate.com/msdownload/update/v3/static/ie50b/x86/he","Web Site - Windows Update","HE","North America"
